component,1,2,3,4,5,6,7,8,9,10,11,Cycle
1,95.70 (C),99.79 (C),97.55 (C),93.83 (C),94.07 (C),94.53 (C),93.83 (C),92.71 (C),97.54 (C),103.36 (C),106.80 (C),3.34 (s)
2,95.48 (C),99.39 (C),97.50 (C),93.54 (C),93.90 (C),94.44 (C),93.42 (C),92.23 (C),96.92 (C),102.86 (C),106.42 (C),53.72 (s)
